Cust_ID,International.Plan,Voice.Mail.Plan,X..Vmail.Messages,X..customer.Service.Calls,Churn,trainrows
601,no,yes,23,3,False.,Yes
602,no,yes,28,1,False.,Yes
603,yes,no,0,1,True.,Yes
604,yes,yes,26,0,False.,Yes
605,no,no,0,0,False.,Yes
606,no,no,0,1,False.,Yes
607,no,yes,31,2,False.,Yes
608,no,no,0,3,True.,No
609,no,yes,24,1,False.,Yes
610,no,yes,26,5,True.,Yes
611,no,yes,17,1,False.,Yes
612,no,no,0,3,False.,No
613,no,no,0,2,False.,Yes
614,no,yes,30,0,False.,Yes
615,yes,yes,29,0,True.,No
616,no,yes,14,1,False.,Yes
617,no,no,0,2,False.,Yes
618,no,no,0,2,False.,Yes
619,no,no,0,1,False.,Yes
620,no,no,0,3,False.,No
621,no,no,0,1,False.,No
622,no,no,0,4,True.,No
623,no,yes,27,7,False.,Yes
624,no,no,0,2,False.,No
625,no,no,0,1,False.,Yes
626,no,no,0,2,False.,Yes
627,no,no,0,0,False.,Yes
628,no,yes,22,0,False.,Yes
629,no,no,0,2,False.,No
630,yes,no,0,0,False.,Yes
631,no,yes,37,2,False.,No
632,no,no,0,2,False.,Yes
633,no,yes,38,2,False.,No
634,no,yes,36,1,False.,No
635,no,no,0,4,False.,Yes
636,no,no,0,1,False.,Yes
637,no,yes,40,1,False.,Yes
638,no,yes,22,0,False.,Yes
639,no,no,0,0,False.,Yes
640,no,no,0,2,False.,Yes
641,no,yes,28,1,False.,Yes
642,no,yes,29,0,False.,Yes
643,yes,yes,20,9,True.,Yes
644,no,no,0,3,False.,Yes
645,no,yes,31,3,False.,Yes
646,no,yes,27,1,False.,No
647,yes,no,0,2,True.,Yes
648,yes,yes,41,5,True.,Yes
649,no,yes,31,0,False.,Yes
650,no,yes,31,4,False.,No
651,no,no,0,4,True.,Yes
652,no,no,0,2,False.,No
653,no,no,0,3,True.,Yes
654,yes,no,0,2,False.,Yes
655,no,no,0,2,False.,No
656,no,yes,25,2,False.,Yes
657,no,no,0,0,False.,Yes
658,no,yes,20,1,False.,No
659,no,no,0,2,True.,Yes
660,no,no,0,2,False.,No
661,no,no,0,1,False.,No
662,no,yes,18,0,False.,Yes
663,no,yes,28,1,False.,Yes
664,no,no,0,1,False.,Yes
665,no,yes,29,2,False.,Yes
666,no,no,0,3,False.,Yes
667,no,yes,37,2,False.,Yes
668,yes,no,0,2,False.,Yes
669,no,no,0,2,False.,Yes
670,yes,yes,32,2,True.,No
671,no,no,0,1,False.,Yes
672,no,yes,26,2,False.,Yes
673,yes,no,0,1,False.,Yes
674,no,yes,31,3,False.,Yes
675,no,no,0,2,True.,No
676,no,yes,36,1,False.,Yes
677,no,no,0,3,False.,Yes
678,no,no,0,2,False.,Yes
679,no,yes,30,1,False.,No
680,no,yes,21,1,False.,Yes
681,no,no,0,1,True.,Yes
682,no,yes,25,3,False.,No
683,no,no,0,1,False.,Yes
684,no,no,0,1,False.,Yes
685,no,no,0,0,True.,No
686,no,no,0,1,False.,Yes
687,yes,no,0,1,False.,No
688,no,no,0,1,False.,No
689,no,no,0,5,True.,Yes
690,no,yes,14,1,False.,Yes
691,no,no,0,2,False.,Yes
692,no,no,0,1,False.,Yes
693,no,no,0,2,False.,No
694,no,yes,29,2,False.,No
695,no,no,0,2,False.,Yes
696,no,yes,28,1,False.,No
697,no,no,0,3,False.,No
698,no,no,0,2,False.,No
699,no,no,0,1,False.,Yes
700,no,yes,46,0,False.,No
701,no,no,0,2,False.,Yes
702,yes,no,0,0,True.,Yes
703,no,no,0,1,False.,Yes
704,no,no,0,3,False.,Yes
705,no,no,0,1,False.,No
706,no,no,0,2,True.,Yes
707,no,no,0,0,False.,Yes
708,no,yes,29,1,False.,No
709,no,no,0,0,False.,No
710,no,no,0,3,False.,Yes
711,no,no,0,3,False.,Yes
712,no,no,0,1,False.,Yes
713,no,no,0,4,False.,No
714,yes,yes,29,1,True.,Yes
715,no,yes,37,2,False.,Yes
716,no,yes,43,1,False.,Yes
717,yes,yes,35,2,False.,Yes
718,no,no,0,3,False.,Yes
719,no,no,0,1,False.,Yes
720,yes,no,0,0,True.,Yes
721,no,no,0,1,False.,Yes
722,no,no,0,1,False.,No
723,no,yes,33,2,False.,No
724,no,no,0,3,False.,No
725,no,no,0,0,False.,Yes
726,no,no,0,3,False.,Yes
727,yes,yes,37,0,True.,No
728,no,no,0,4,False.,Yes
729,no,no,0,1,False.,Yes
730,no,no,0,0,True.,Yes
731,no,no,0,0,False.,Yes
732,no,no,0,0,False.,Yes
733,no,yes,22,3,False.,Yes
